id;sure_durum;sure_bitis_tarihi;protokol_nu;olur_yazi_nu;protokol_imza_tarihi;protokol_aciklamasi
1;SURELI;2022-03-10;Bacon;extend Amerika;2022-03-10;Gloves THX Peso
2;SURESIZ;2022-03-10;Practical Mali;Peso incubate Steel;2022-03-10;convergence
3;SURELI;2022-03-10;Well USB;metrics navigate AI;2022-03-10;empowering
4;SURELI;2022-03-10;system reboot Practical;markets Home Car;2022-03-10;metrics platforms
5;SURELI;2022-03-10;niches;invoice Course;2022-03-09;Granite SDD
6;SURESIZ;2022-03-10;Keyboard;system-worthy;2022-03-10;conglomeration Glens front-end
7;SURESIZ;2022-03-09;invoice;Creative Handcrafted;2022-03-10;Loan Granite
8;SURELI;2022-03-09;productize Health drive;Hampshire cross-platform;2022-03-10;lavender embrace
9;SURELI;2022-03-10;integrate Awesome transmitter;Data;2022-03-10;Delaware Buckinghamshire
10;SURESIZ;2022-03-10;hacking XSS conglomeration;ability circuit;2022-03-09;Corporate withdrawal
