id;servis_adi;servis_url;servis_veri_tip;aciklamasi;dosyasi;dosyasi_content_type;resmi;resmi_content_type;servis_sekli;servis_tipi;baglanti_sekli;servis_durum;anlik_sorgu;yigin_veri;gds
1;SMTP;Ergonomic Pizza Handmade;back-end Awesome Nebraska;Beauty array;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUM_ICI_VERILEN;WMS;KAMUNET;PLANLANAN;Granite open-source EXE;Norveç Fantastic Borders;Cloned
2;Springs;Planner harness;Interactions;revolutionize THX Pizza;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMDAN_ALINAN;WFS;KIRALIK;DEVAM_EDEN;Illinois Loan;auxiliary Plastic deposit;Account Plastic
3;Pizza;Investor hacking;Self-enabling Consultant technologies;Tools;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUM_ICI_VERILEN;WFS;ACIK_INTERNET;DEVAM_EDEN;out-of-the-box drive;Keyboard magnetic Trafficway;Dollar Brazilian
4;Gloves;olive Dinar;ROI Chicken;Handcrafted frame;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMDAN_ALINAN;WEB;KAMUNET;TAMAMLANAN;synthesize;invoice Ergonomic;management Lead Avon
5;analyzer;Intelligent Toys;Road Kids Wooden;Concrete;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUM_ICI_VERILEN;WFS;ACIK_INTERNET;DEVAM_EDEN;Georgia;Moroccan deposit adapter;Orchestrator Factors national
6;vertical driver wireless;Administrator cross-platform;Cumhuriyeti;logistical Leu;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMA_VERILEN;WFS;KIRALIK;DEVAM_EDEN;zero Rapid;Clothing Assurance;Legacy
7;Indiana;feed;Facilitator;Handcrafted;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUM_ICI_VERILEN;WMS;KAMUNET;PLANLANAN;e-services Court;Rubber experiences;payment
8;ubiquitous transmitter circuit;Industrial;Polonya transmitting Identity;withdrawal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMDAN_ALINAN;WEB;KIRALIK;DEVAM_EDEN;Brooks Sleek;grey Berkshire;Auto
9;Frozen Diverse;productize methodology;initiatives Liaison;Massachusetts;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMDAN_ALINAN;WFS;ACIK_INTERNET;PLANLANAN;Producer cross-platform contingency;intranet protocol;interface Architect Central
10;silver;deposit payment interactive;infomediaries website input;matrices;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;KURUMA_VERILEN;WFS;KIRALIK;TAMAMLANAN;Operations;mobile Sausages;Buckinghamshire payment Internal
