id;sorun_aciklamasi;sorun_tarihi;cozum_aciklamasi;cozum_tarihi
1;Personal mindshare;2022-03-10;Research Illinois;2022-03-10
2;enterprise Lead;2022-03-10;architectures;2022-03-10
3;HDD Dirham invoice;2022-03-10;Consultant Norwegian;2022-03-10
4;Division;2022-03-09;foreground FTP Generic;2022-03-09
5;multi-byte;2022-03-09;Soap cultivate;2022-03-09
6;generate system leverage;2022-03-10;Card;2022-03-10
7;impactful frictionless;2022-03-10;Manager silver;2022-03-10
8;Internal cross-media;2022-03-10;Unbranded haptic;2022-03-10
9;SMS;2022-03-09;Automotive database;2022-03-10
10;Factors system programming;2022-03-10;Toys Soft;2022-03-10
